"transactionId","user","datetime","operation","quantity","unitPrice"
10000,"user_23",1596265204486,"OPERATION_3",6,58.77
10001,"user_19",1596265208999,"OPERATION_3",7,65.35
10002,"user_69",1596265211607,"OPERATION_6",1,36.57
10003,"user_65",1596265215179,"OPERATION_5",8,98.37
10004,"user_21",1596265223091,"OPERATION_4",2,74.43
10005,"user_21",1596265227048,"OPERATION_0",5,32.7
10006,"user_71",1596265237046,"OPERATION_8",6,39.11
10007,"user_33",1596265247589,"OPERATION_8",10,65.52
10008,"user_1",1596265249575,"OPERATION_2",7,79.11
10009,"user_90",1596265250232,"OPERATION_6",7,23.07
10010,"user_59",1596265257022,"OPERATION_4",8,21.22
10011,"user_99",1596265257406,"OPERATION_4",6,9.56
10012,"user_90",1596265257696,"OPERATION_7",1,78.49
10013,"user_51",1596265259651,"OPERATION_1",2,6.63
10014,"user_43",1596265263028,"OPERATION_6",6,91.66
10015,"user_72",1596265268587,"OPERATION_6",3,34.59
10016,"user_62",1596265273638,"OPERATION_0",2,93.17
10017,"user_38",1596265281342,"OPERATION_2",4,51.16
10018,"user_72",1596265283478,"OPERATION_5",8,70.29
10019,"user_38",1596265296315,"OPERATION_2",3,20.63
10020,"user_41",1596265306418,"OPERATION_1",9,43.79
10021,"user_31",1596265307633,"OPERATION_1",4,66.15
10022,"user_92",1596265308661,"OPERATION_0",7,58.95
10023,"user_52",1596265314011,"OPERATION_3",7,76.66
10024,"user_91",1596265315374,"OPERATION_3",5,66.05
10025,"user_6",1596265317491,"OPERATION_5",9,9.6
10026,"user_95",1596265318637,"OPERATION_5",10,43.6
10027,"user_98",1596265322099,"OPERATION_9",1,80.31
10028,"user_58",1596265323394,"OPERATION_2",2,23.19
10029,"user_47",1596265323527,"OPERATION_3",1,50.03
10030,"user_17",1596265324476,"OPERATION_3",7,68.3
10031,"user_50",1596265324719,"OPERATION_0",6,97.06
10032,"user_37",1596265326253,"OPERATION_6",7,19.62
10033,"user_49",1596265329610,"OPERATION_0",8,96.2
10034,"user_81",1596265330073,"OPERATION_9",6,9.72
10035,"user_65",1596265330563,"OPERATION_3",2,20.65
10036,"user_63",1596265330608,"OPERATION_2",3,85.13
10037,"user_79",1596265337449,"OPERATION_6",4,17.63
10038,"user_27",1596265339823,"OPERATION_3",9,92.44
10039,"user_76",1596265350954,"OPERATION_3",6,20.51
10040,"user_89",1596265355911,"OPERATION_8",1,73.81
10041,"user_36",1596265358572,"OPERATION_5",8,51.65
10042,"user_66",1596265365040,"OPERATION_8",2,47.68
10043,"user_11",1596265365482,"OPERATION_2",3,19.13
10044,"user_51",1596265378727,"OPERATION_1",3,10.69
10045,"user_44",1596265388592,"OPERATION_8",3,48.81
10046,"user_28",1596265390813,"OPERATION_3",4,22.71
10047,"user_89",1596265392826,"OPERATION_9",2,93.91
10048,"user_6",1596265397459,"OPERATION_5",5,63.93
10049,"user_41",1596265404128,"OPERATION_8",5,41.44
10050,"user_10",1596265404657,"OPERATION_5",4,52.52
10051,"user_32",1596265408884,"OPERATION_7",8,31.6
10052,"user_40",1596265410858,"OPERATION_8",7,35.19
10053,"user_83",1596265415171,"OPERATION_9",10,53.51
10054,"user_40",1596265420924,"OPERATION_8",7,52.54
10055,"user_90",1596265426434,"OPERATION_0",1,85.3
10056,"user_22",1596265427302,"OPERATION_1",5,34.04
